simulation_id,attack_id,cost
1564,1,105147992.66951607
1564,2,107660125.04261705
1566,1,92174954.25272164
1566,2,90826429.9159014
1567,1,96184554.0586061
1568,1,83985409.90999874
1568,2,103845254.72133584
1569,1,97869593.99858475
1570,1,100656522.13879696
1570,2,99026316.17085668
1573,1,96923099.2395026
1573,2,104571188.1695877
1573,3,89400489.36351207
1575,1,106706835.93570258
1577,1,91692658.29428862
1579,1,101062586.6695856
1581,1,92702390.51916936
1582,1,105076981.8971589
1584,1,104656032.69966035
1584,2,96310513.26301987
1584,3,117117677.60491996
1591,1,105338022.42586814
1592,1,96027412.89796178
1593,1,114659609.88178587
1593,2,106934336.24509399
1595,1,79413821.99606553
1597,1,94137863.3716815
1598,1,85495800.03873783
1602,1,89449130.1967814
1604,1,95877867.62416981
1604,2,93662086.59766966
1605,1,98276430.6371077
1607,1,103677421.0018495
1615,1,104339957.11603823
1617,1,111865247.85997224
1617,2,101610631.12609
1621,1,80418135.72187355
1622,1,104171862.64967382
1624,1,105369692.74881582
1624,2,98282509.21879247
1624,3,105553912.2736841
1625,1,91239044.76922265
1626,1,90905465.64598148
1628,1,125049482.4465628
1628,2,83830165.41685042
1632,1,95779068.13960908
1636,1,104599962.77998988
1638,1,113451528.89239068
1638,2,98944625.75849162
1642,1,105509779.00111474
1645,1,92374676.03191292
1648,1,82294017.01529711
1650,1,84524918.26400192
1653,1,82746459.97880456
1656,1,100793069.67049526
1658,1,94959321.79509395
1662,1,114448582.49798809
1663,1,100593952.85525583
1665,1,96184351.52050865
1666,1,108358136.82203807
1667,1,105976165.57144654
1668,1,112277863.89315395
1669,1,105937637.35902001
1671,1,91898714.22753668
1671,2,106607463.58636093
1671,3,105376348.36385648
1672,1,108664304.62560984
1675,1,100828770.04124151
1676,1,113504040.01209316
1678,1,98232258.77107836
1685,1,88506411.43119109
1686,1,98953990.95368983
1686,2,107442933.05625273
1687,1,93789305.2701847
1687,2,94253716.80450065
1687,3,94406841.64995515
1689,1,94560318.37170534
1690,1,93876386.66741252
1692,1,126574874.83334878
1695,1,86302342.13752626
1695,2,118171901.35368389
1698,1,116695487.63523604
1705,1,106664098.37071092
1705,2,114140381.76297244
1707,1,102291177.21152802
1713,1,119068962.4348011
1716,1,102011071.06696849
1724,1,102747456.7908416
1726,1,117070774.46740426
1729,1,110689236.14651223
1730,1,96442930.28188285
1733,1,95336731.76047647
1734,1,92477014.79863763
1735,1,110025993.05339576
1741,1,96380919.38382062
1741,2,85808416.03842632
1741,3,122554458.98370965
1744,1,117231225.55622639
1747,1,86932187.22985354
1750,1,110725082.81151503
1751,1,100679382.77730621
1752,1,101213437.34145759
1753,1,95029383.23391289
1755,1,88853022.32181522
1757,1,94717004.572751
1760,1,105916889.78831173
1764,1,98008795.72969122
1766,1,94937181.31811185
1767,1,96902279.15376525
1768,1,101133086.70539686
1772,1,87545320.41500056
1772,2,107544956.41757202
1775,1,100083627.97309746
1778,1,95181767.19660479
1779,1,107609877.15384503
1784,1,86120322.71167047
1784,2,88127487.1728745
1785,1,93387104.60089594
1785,2,111541227.91168964
1786,1,93716811.99644685
1788,1,104812506.70887691
1788,2,109638260.23435465
1789,1,103100269.90850212
1790,1,97639867.53018658
1791,1,121117160.54345515
1791,2,104354173.80606246
1792,1,101536734.30550654
1793,1,87443702.23334144
1796,1,118381825.73795602
1796,2,101551030.7016527
1797,1,102043604.41647469
1798,1,98484395.88541403
1798,2,102006416.84882317
1799,1,116674684.18517809
1800,1,100561858.41063415
1801,1,110426898.45861968
1802,1,95479263.86476745
1802,2,89064995.43247367
1805,1,107888089.87598199
1807,1,113687726.57977521
1808,1,113192009.50470361
1809,1,90066917.1833886
1810,1,110434016.88289341
1812,1,103966860.36872438
1813,1,89963586.41314696
1813,2,93073358.72403985
1816,1,89934365.09229791
1819,1,99120419.64290638
1819,2,106789644.14961578
1821,1,97985027.0740452
1822,1,106571077.20097597
1823,1,87386510.23922639
1826,1,106242417.64968547
